id,name,score,zip_code,city,state
46668,Dunkin' ,4.6,77379,Spring,TX
50096,The Burger Den ,4.2,75181,Balch Springs,TX
28614,Swizzler Navy Yard,4.7,20003,Washington,DC
9131,Desi Tadka Indian Grill,4.5,98004,Bellevue,WA
19897,Urbano 116,4.6,22314,Alexandria,VA
60939,Burger King ,4.3,77627,Nederland,TX
741,Dolce Pan Bakery,4.8,35805,Huntsville,AL
4423,Insomnia Cookies ,4.7,54901,Oshkosh,WI
57866,Smoothie King ,4.8,76548,Harker Heights,TX
16890,Cosmic Wings ,4.7,99336,Kennewick,WA
29253,Pokeworks ,4.8,05401,Burlington,VT
46033,Hootie's Chicken Tenders ,3.6,77064,Houston,TX
56225,Cava ,4.9,78258,San Antonio,TX
